enum_name,value
appointment_status,scheduled
appointment_status,confirmed
appointment_status,completed
appointment_status,cancelled
appointment_status,no_show
audit_action,create
audit_action,update
audit_action,delete
audit_action,restore
availability_priority,low
availability_priority,normal
availability_priority,high
booking_source,manual
booking_source,ai
booking_source,future_customer_portal
booking_source,calendar_import
business_type,physiotherapist
business_type,dentist
business_type,barber
business_type,hairdresser
business_type,spa
business_type,beauty_center
business_type,psychologist
business_type,nutritionist
business_type,personal_trainer
business_type,consultant
business_type,veterinarian
business_type,other
notification_channel,whatsapp
notification_channel,email
notification_channel,sms
notification_channel,system
notification_status,pending
notification_status,sent
notification_status,failed
optimization_mode,conservative
optimization_mode,balanced
optimization_mode,aggressive
optimization_result,preview
optimization_result,accepted
optimization_result,discarded
template_type,reminder
template_type,appointment_moved
template_type,cancellation
template_type,follow_up
template_type,custom
weekday,monday
weekday,tuesday
weekday,wednesday
weekday,thursday
weekday,friday
weekday,saturday
weekday,sunday
